date,global_active_power,global_reactive_power,voltage,global_intensity,sub_metering_1,sub_metering_2,sub_metering_3,sub_metering_remainder,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU
2006-12-17,3390.46,226.006,240.0870277777778,9.999027777777778,2033.0,4187.0,13340.999999999998,36946.666666666664,66.6,9.0,6.0,2.0,2.0
2006-12-18,2203.826,161.792,241.23169444444446,6.421666666666667,1063.0,2621.0,14018.0,19028.433333333334,66.6,9.0,6.0,2.0,2.0
2006-12-19,1666.194,150.942,241.9993125,4.926388888888889,839.0,7602.0,6197.0,13131.900000000001,66.6,9.0,6.0,2.0,2.0
2006-12-20,2225.748,160.998,242.30806249999998,6.467361111111111,0.0,2648.0,14063.0,20384.800000000003,66.6,9.0,6.0,2.0,2.0
2006-12-21,1719.0115159944369,144.3665090403338,241.04054937413073,5.033796940194716,1767.4547983310154,2626.6481223922115,10435.493741307371,13820.595271210015,66.6,9.0,6.0,2.0,2.0
2006-12-22,2341.338,186.906,241.1845486111111,6.872916666666667,3151.0,350.0,11131.0,24390.300000000003,66.6,9.0,6.0,2.0,2.0
2006-12-23,4773.386,221.47000000000003,240.1360763888889,14.028055555555557,2669.0,425.0,14726.000000000002,61736.433333333334,66.6,9.0,6.0,2.0,2.0
2006-12-24,2550.012,149.9,241.6874375,7.640416666666667,1702.9999999999998,5082.0,6891.0,28824.199999999997,66.6,9.0,6.0,2.0,2.0
2006-12-25,2743.12,240.27999999999997,243.39993055555558,7.951527777777779,6620.0,1962.0,5795.0,31341.666666666664,66.6,9.0,6.0,2.0,2.0
2006-12-26,3934.11,165.102,241.6254375,11.347916666666666,1086.0,2533.0,14979.0,46970.5,66.6,9.0,6.0,2.0,2.0
2006-12-27,1528.7599999999998,178.902,243.76736111111111,4.5175,0.0,314.0,6975.999999999999,18189.33333333333,66.6,9.0,6.0,2.0,2.0
2006-12-28,2072.638,208.876,243.26833333333335,6.086250000000001,2207.0,4419.0,9176.0,18741.966666666667,66.6,9.0,6.0,2.0,2.0
2006-12-29,3174.392,196.394,240.87130555555555,9.271388888888888,1252.0,5162.0,11329.0,35163.53333333333,66.6,9.0,6.0,2.0,2.0
2006-12-30,2793.181418636996,312.36183588317107,240.54068845618914,8.292211404728791,3076.2726008344926,7901.974965229486,12497.357440890124,23077.418636995833,66.6,9.0,6.0,2.0,2.0
2006-12-31,3494.196,150.852,239.8965763888889,10.199583333333333,0.0,347.0,6502.0,51387.6,66.6,9.0,6.0,2.0,2.0
2007-01-01,2749.004,148.166,240.12897916666665,7.916944444444444,0.0,352.0,5880.0,39584.73333333333,28.0,9.0,1.0,0.0,0.0
2007-01-02,1269.236,190.342,241.94377777777777,3.7140277777777775,0.0,348.0,6562.0,14243.933333333334,28.0,9.0,1.0,0.0,0.0
2007-01-03,1014.054,196.728,243.5570902777778,3.0140277777777778,0.0,344.0,4765.0,11791.900000000001,28.0,9.0,1.0,0.0,0.0
2007-01-04,3259.412,202.302,239.7502986111111,9.478194444444444,1051.0,7597.0,10896.0,34779.53333333333,28.0,9.0,1.0,0.0,0.0
2007-01-05,2713.364,173.154,240.49576388888892,7.885138888888889,1483.0,379.0,7602.0,35758.73333333333,28.0,9.0,1.0,0.0,0.0
2007-01-06,1508.378,192.188,239.67305555555555,4.543888888888889,1336.0,402.0,5678.0,17723.633333333335,28.0,9.0,1.0,0.0,0.0
2007-01-07,2447.62,246.074,240.90248611111113,7.282638888888889,1987.0000000000002,8177.0,12810.0,17819.666666666664,28.0,9.0,1.0,0.0,0.0
2007-01-08,2241.36,207.56800000000004,239.5769513888889,6.551666666666667,0.0,467.0,17547.0,19342.0,28.0,9.0,1.0,0.0,0.0
2007-01-09,1869.054,207.24800000000002,240.48752083333335,5.521111111111111,1688.0,4267.0,9790.0,15405.900000000001,28.0,9.0,1.0,0.0,0.0
2007-01-10,2154.8,228.452,241.02745138888892,6.357777777777779,771.0,4456.0,11012.0,19674.333333333336,28.0,9.0,1.0,0.0,0.0
2007-01-11,2255.194,230.01999999999998,241.1556875,6.658333333333333,1378.0,2170.0,12415.000000000002,21623.566666666666,28.0,9.0,1.0,0.0,0.0
2007-01-12,1461.296,199.13999999999996,241.53820833333336,4.309166666666666,0.0,439.00000000000006,8276.0,15639.933333333334,28.0,9.0,1.0,0.0,0.0
2007-01-13,3186.8139999999994,290.736,239.28361111111113,9.453055555555554,7806.0,2975.0,11341.0,30991.56666666666,28.0,9.0,1.0,0.0,0.0
2007-01-14,3009.906212647672,227.27783182765808,238.8218485059069,8.968311327310632,1778.2348853370397,4217.929117442669,12984.016678248783,31184.922863099375,28.0,9.0,1.0,0.0,0.0
2007-01-15,2148.678,174.86,241.2409097222222,6.261527777777778,1099.0,2239.0,15163.000000000002,17310.300000000003,28.0,9.0,1.0,0.0,0.0
2007-01-16,1686.4039999999998,185.428,241.94475694444446,4.975972222222222,2063.0,644.0,6583.0,18816.73333333333,28.0,9.0,1.0,0.0,0.0
2007-01-17,2847.688,200.752,241.00525,8.283888888888889,3499.9999999999995,5737.0,16064.0,22160.466666666667,28.0,9.0,1.0,0.0,0.0
2007-01-18,1821.462,177.712,240.89359722222224,5.3425,0.0,336.0,13491.0,16530.7,28.0,9.0,1.0,0.0,0.0
2007-01-19,1480.4400000000003,170.052,240.16094444444445,4.37625,2103.0,330.0,7171.999999999999,15069.000000000004,28.0,9.0,1.0,0.0,0.0
2007-01-20,3133.732,238.362,238.8674722222222,9.348055555555556,4324.0,5222.0,11440.0,31242.86666666667,28.0,9.0,1.0,0.0,0.0
2007-01-21,3407.2620000000006,229.73599999999996,238.96811805555558,10.190694444444444,10346.0,5567.0,11598.999999999998,29275.700000000004,28.0,9.0,1.0,0.0,0.0
2007-01-22,2180.494,168.642,241.60313194444444,6.355277777777778,1054.0,2983.0,11361.0,20943.566666666666,28.0,9.0,1.0,0.0,0.0
2007-01-23,1777.6399999999999,138.28,242.76255555555556,5.260833333333333,0.0,1064.0,5061.0,23502.33333333333,28.0,9.0,1.0,0.0,0.0
2007-01-24,2987.8540000000003,178.06,241.45769444444446,8.733611111111111,3464.0,2480.0,11744.0,32109.566666666673,28.0,9.0,1.0,0.0,0.0
2007-01-25,1596.344,144.16,243.42436111111112,4.629305555555556,1158.0,262.0,11239.0,13946.733333333334,28.0,9.0,1.0,0.0,0.0
2007-01-26,1617.9719999999998,142.902,242.77179166666667,4.721388888888889,1163.0,261.0,8238.0,17304.199999999997,28.0,9.0,1.0,0.0,0.0
2007-01-27,2044.072,148.242,241.61656944444442,5.949861111111111,1170.0,3896.0,12374.0,16627.86666666667,28.0,9.0,1.0,0.0,0.0
2007-01-28,3092.3514662960392,153.45856845031273,240.30478804725504,9.133703961084086,3468.408617095205,3999.7776233495483,12053.370396108408,32017.63446838082,28.0,9.0,1.0,0.0,0.0
2007-01-29,1982.6639999999998,165.696,240.9295972222222,5.788888888888889,1123.0,294.0,15254.0,16373.399999999994,28.0,9.0,1.0,0.0,0.0
2007-01-30,1707.7980000000002,180.934,241.84087499999998,5.028194444444445,1123.0,1424.0,8149.000000000001,17767.300000000003,28.0,9.0,1.0,0.0,0.0
2007-01-31,2363.752,185.98799999999997,239.92113194444443,6.923611111111111,0.0,5950.0,15052.0,18393.86666666667,28.0,9.0,1.0,0.0,0.0
2007-02-01,1824.76,150.264,240.3921388888889,5.3325000000000005,1170.0,386.0,13144.999999999998,15711.66666666667,79.2,12.0,6.0,3.0,1.0
2007-02-02,1667.736,139.542,240.3343888888889,4.870833333333334,0.0,356.0,11338.0,16101.599999999999,79.2,12.0,6.0,3.0,1.0
2007-02-03,4029.722,245.824,238.91019444444444,11.815972222222221,4746.0,4573.0,17834.0,40009.03333333334,79.2,12.0,6.0,3.0,1.0
2007-02-04,3595.94,186.49400000000003,239.63333333333333,10.565416666666668,3391.0,4597.0,14472.000000000002,37472.333333333336,79.2,12.0,6.0,3.0,1.0
2007-02-05,1645.28,147.228,240.81031249999998,4.820416666666667,896.0,2564.0,7849.0,16112.333333333332,79.2,12.0,6.0,3.0,1.0
2007-02-06,1273.48,142.566,241.26415972222225,3.7719444444444448,1185.0,405.0,4517.0,15117.666666666668,79.2,12.0,6.0,3.0,1.0
2007-02-07,2328.018,177.708,241.14969444444444,6.791666666666667,3299.0000000000005,3513.0,11986.0,20002.300000000003,79.2,12.0,6.0,3.0,1.0
2007-02-08,1801.4139999999998,138.896,241.79730555555554,5.248333333333334,2226.0,366.0,10157.0,17274.566666666662,79.2,12.0,6.0,3.0,1.0
