forecast_day,mae_original,rmse_original,bias_original
1,209.98605,273.90396,-21.425512
2,215.33456,278.5912,-26.201468
3,222.43967,284.82248,-30.945658
4,224.20891,285.50735,-36.387287
5,226.83298,290.08417,-43.626743
6,226.33568,289.89554,-54.001884
7,226.57884,290.41013,-61.043747
8,229.33269,293.03183,-67.54599
9,228.77583,292.73608,-70.00998
10,226.82855,291.0324,-68.20971
11,229.43289,293.44342,-70.564064
12,230.62643,294.66364,-70.97615
13,228.80843,293.79544,-68.60335
14,229.28117,293.87784,-69.99475
15,228.57019,292.4873,-66.96153
16,228.73848,292.47815,-67.7755
17,230.50166,293.67218,-65.541954
18,230.05124,293.0397,-63.62522
19,232.41483,294.37274,-58.20208
20,228.22162,289.22113,-54.366875
21,227.14314,288.8302,-55.080208
22,228.62971,289.98083,-48.839466
23,232.36693,295.83246,-40.620617
24,230.23726,293.91284,-38.56404
25,231.3844,295.37192,-32.7096
26,230.69897,295.1512,-32.471943
27,231.07828,295.63712,-33.529804
28,230.38843,295.3616,-35.783836
29,229.8379,294.1782,-36.201813
30,226.24533,290.03278,-31.736229
31,227.40385,291.07117,-29.98451
32,229.10947,292.6007,-24.937399
33,229.47995,292.72537,-27.131432
34,231.98042,294.43503,-26.62733
35,231.77249,294.40857,-27.864159
36,231.97302,293.33127,-28.864735
37,228.45384,288.86722,-24.96346
38,229.07489,289.86163,-23.255636
39,231.03851,291.61237,-23.664358
40,232.24393,292.18753,-22.847353
41,231.76413,292.12265,-28.226257
42,228.91931,290.14667,-27.011286
43,227.353,288.18005,-24.711775
44,223.94382,284.05505,-22.30385
45,221.30551,283.3981,-18.778786
46,219.71394,283.41492,-20.606827
47,224.09225,288.1551,-25.599174
48,227.32343,293.24823,-29.527431
49,226.62473,291.73312,-30.040554
50,229.6001,296.98114,-23.089191
51,231.28174,299.47702,-14.41887
52,238.95613,317.03375,-21.601639
53,242.00449,320.17377,-26.023607
54,244.15063,321.8053,-29.074753
55,240.15837,318.01312,-21.60237
56,240.0612,317.61545,-21.132463
57,241.7383,318.91287,-22.979488
58,245.12363,323.3153,-26.979908
59,245.08583,324.1462,-21.320282
60,246.75406,326.3711,-15.435112
61,245.94284,325.07153,-13.019342
62,245.3176,326.1684,-12.5952015
63,247.40204,327.1804,-9.959565
64,249.09508,326.90634,-13.561429
65,245.82939,323.6623,-17.382847
66,247.10094,326.01987,-18.719324
67,248.40498,327.83798,-15.884079
68,250.06203,329.3596,-14.634326
69,255.81584,340.66876,-19.54147
70,253.22418,337.5865,-14.146878
71,252.3643,335.01328,-12.917454
72,250.2975,333.50156,-14.979791
73,250.45853,334.57104,-17.730953
74,254.95886,338.83148,-24.571308
75,257.67508,341.82944,-32.24979
76,256.33435,341.38092,-36.883087
77,254.80908,339.13553,-33.783268
78,253.62418,337.36948,-29.829842
79,253.1438,336.8648,-29.609312
80,252.40282,337.3981,-29.409285
81,253.64049,339.00272,-28.302263
82,253.88657,339.86456,-24.519777
83,249.70561,335.51276,-15.8439245
84,243.48384,325.82858,-2.1515172
85,242.38676,324.2349,-0.77517724
86,250.39969,342.22217,5.9645863
87,251.72516,344.83472,0.52094036
88,257.80884,349.29657,-1.711669
89,260.79953,351.59253,-5.118185
90,262.0877,353.36795,-0.6767501
