sample_id,mae,mse,rmse
8,294.13810875871235,143603.00345689684,378.94986931901275
7,294.75792708268494,144293.76745666983,379.860194619902
4,294.78089153852056,144785.23807759845,380.5065545790223
3,294.89400138358906,145566.96894313578,381.53239566665343
1,295.0834234461644,145360.224585277,381.261359942595
6,295.1956167861644,144587.88506138287,380.2471368220711
2,295.2538638532055,146354.63979073023,382.56324939901145
5,295.5590957363836,145276.77101774287,381.1519001890754
0,296.1132588481918,145492.79174959764,381.4351737184153
9,296.5912887489041,145736.7380331727,381.7548140275021
10,297.0532198442466,145773.42133107962,381.8028566303291
11,297.6748525750411,145760.2066117804,381.78555055394696
12,306.3277637980548,157903.92487740685,397.3712683088787
13,318.44917949287674,179943.0265099737,424.19691949609165
14,335.12668564301373,211739.50443934917,460.151610275732
15,344.077486400137,229476.51109356206,479.03706651318964
24,346.032306660137,250159.78426889336,500.1597587460364
25,347.45337741712325,254609.15798040424,504.5881072522461
18,348.53526381246576,246898.70404467522,496.88902588472934
16,349.0138356738356,242282.391481366,492.2218925254808
32,349.1058901913973,254988.1710319051,504.96353435857634
17,349.2306395193151,245084.56563391926,495.06016365076204
30,350.121200860137,255164.3136370039,505.1379154617122
26,350.7723374934521,263033.3612389264,512.8677814397454
19,351.046694720411,257131.9665488487,507.08181445290336
31,351.05310918602737,254971.57632196153,504.94710249882763
23,351.32501414345205,257133.2109632186,507.0830414865188
28,352.56126186879453,264030.1634517656,513.8386550774139
29,352.58324907495887,262108.6707713011,511.96549763758605
33,352.9507479390411,262259.27884311153,512.1125646214039
20,353.3368764080822,263843.55206772964,513.6570373972595
22,353.87472742852054,262537.941165217,512.3845637460373
27,354.1707661512603,268664.588528425,518.3286491488051
21,354.50008124095893,264553.03062180063,514.3471887954678
34,354.90545432849314,265021.9286926829,514.8028056379286
35,356.980836030137,262319.5696499905,512.1714260381874
