forecast_day,mae_original,rmse_original,bias_original
1,233.71544,296.89215,-1.5966167
2,240.75923,306.87146,-28.938297
3,243.04161,311.0073,-46.67831
4,241.22873,312.04816,-61.662228
5,244.61592,318.3124,-73.64465
6,244.47897,318.5056,-84.440865
7,245.29,319.9074,-91.14328
8,251.0538,328.8135,-99.43478
9,254.41579,330.1432,-101.67408
10,252.99191,326.87527,-96.96883
11,257.3365,329.89526,-97.89757
12,259.99677,331.32895,-96.32794
13,259.9681,330.39725,-91.66055
14,260.92355,330.97696,-91.50018
15,262.86874,332.24338,-89.659035
16,266.7184,334.64505,-89.91845
17,267.3377,334.39236,-85.734955
18,268.5746,334.34247,-85.06582
19,268.87616,334.1724,-79.971504
20,264.29868,328.98892,-73.885284
21,264.90085,329.1485,-72.772705
22,263.31982,328.18918,-68.42615
23,262.9401,327.75272,-59.910465
24,260.71402,324.34402,-56.418682
25,260.7794,324.3043,-52.211136
26,262.12543,324.56934,-52.668
27,262.65793,324.58304,-52.400913
28,260.96933,323.74384,-53.069656
29,260.93295,323.5968,-54.605953
30,256.38754,318.41928,-49.636242
31,256.60492,318.30618,-48.142216
32,257.23166,318.44415,-46.954243
33,258.30557,319.1984,-50.352287
34,259.02927,319.3677,-48.522808
35,259.01636,319.29254,-48.708263
36,261.69098,320.8622,-51.224354
37,258.3635,316.41882,-47.7753
38,257.61075,315.90576,-46.920036
39,259.38904,316.7271,-49.133465
40,261.06818,317.5852,-47.318512
41,259.98892,316.72992,-51.153645
42,260.4636,316.91937,-48.97052
43,260.40622,316.8841,-47.13661
44,256.98016,311.71625,-43.685104
45,254.29251,309.36777,-39.376038
46,253.15186,308.66522,-40.47372
47,255.2066,310.37076,-42.51024
48,256.04916,311.39157,-43.336708
49,257.15625,311.66257,-42.10991
50,261.36954,318.52924,-34.012512
51,261.44778,318.71475,-22.366734
52,265.41898,327.21655,-26.33307
53,266.82184,327.62885,-27.732738
54,266.49567,327.60376,-27.403463
55,264.75,324.9448,-19.571335
56,264.56915,324.87637,-19.748013
57,267.13278,327.36743,-22.310535
58,269.8839,330.67535,-25.060665
59,271.1167,332.75082,-16.26676
60,273.73798,337.88263,-5.9286613
61,274.65338,339.0616,0.93604237
62,274.56378,338.97916,5.8531413
63,279.0681,343.14838,10.35826
64,281.187,344.2501,7.544023
65,282.69412,345.45084,9.051642
66,286.0676,347.72125,12.425468
67,288.3077,350.76938,19.909033
68,290.30286,352.94437,25.949623
69,293.74542,357.87662,22.50714
70,292.7573,357.33948,25.568813
71,293.24957,357.4312,26.617754
72,295.12134,358.06503,28.525486
73,292.32187,356.1144,32.443775
74,293.29166,356.3565,31.47404
75,293.567,356.40854,30.414074
76,292.82428,356.09128,29.671356
77,291.98206,355.78928,31.681301
78,292.34198,355.851,31.321404
79,292.32425,355.84628,31.339136
80,292.6252,355.9798,33.82535
81,295.0821,357.5755,37.4745
82,294.52618,357.04764,42.81756
83,293.18207,355.78806,48.07748
84,290.95102,352.62674,55.981434
85,291.37354,352.88245,52.61931
86,298.0216,364.69724,59.26735
87,297.18295,364.34076,56.827515
88,298.244,365.1209,57.888588
89,298.10907,365.07877,57.753624
90,301.13272,367.4954,62.363804
