forecast_day,mae_original,rmse_original,bias_original
1,300.57996,369.93002,-30.202436
2,298.92874,366.70248,-36.64914
3,298.8738,365.40024,-41.689243
4,297.0212,363.27225,-49.413357
5,300.57858,365.93683,-61.705494
6,301.4301,365.75873,-81.8862
7,303.79236,368.2694,-98.96861
8,304.3288,369.32898,-107.98622
9,301.2127,366.21738,-105.33991
10,295.14966,359.31924,-97.97947
11,294.9396,358.75558,-95.029015
12,292.58603,356.88394,-85.64648
13,286.7364,352.33484,-66.706085
14,283.13812,350.52216,-46.210308
15,278.66394,348.53244,-25.389214
16,278.29593,347.40607,-22.42286
17,282.18146,348.57526,-35.56538
18,287.263,351.93704,-63.814095
19,291.57077,355.22134,-86.01187
20,288.22116,349.616,-91.70744
21,285.18237,346.6274,-84.4345
22,278.55466,341.25363,-61.549797
23,275.90994,339.25113,-34.08343
24,271.89087,335.31638,-21.670591
25,269.54562,333.37094,-20.15999
26,270.88428,333.8631,-27.914694
27,271.6003,334.2048,-28.908705
28,270.9057,334.20114,-25.809164
29,272.73508,336.03854,-24.570599
30,270.1457,332.68863,-24.892643
31,273.01114,334.83127,-35.940292
32,273.84286,335.40082,-44.91041
33,276.9183,337.90472,-50.64572
34,275.7731,337.7381,-45.569115
35,277.11588,338.3176,-45.260376
36,280.7674,340.83057,-53.168877
37,280.87872,339.0662,-61.898754
38,285.0316,342.84537,-73.52122
39,288.2642,345.9036,-76.91169
40,285.31052,342.81732,-63.73712
41,284.59668,342.671,-53.663223
42,282.8547,341.58624,-46.284233
43,282.42584,341.86823,-47.958633
44,279.802,337.72757,-50.1969
45,274.45404,333.28183,-43.01782
46,268.89444,329.57248,-28.249079
47,272.2562,334.54272,-11.428051
48,276.17712,340.40353,-2.1393034
49,278.26877,340.90845,-10.363024
50,285.61597,348.2442,-30.321436
51,290.72272,352.17715,-53.15652
52,302.8664,371.3986,-83.918045
53,310.65198,378.07077,-98.609886
54,316.12735,383.03503,-100.71733
55,312.93607,380.63495,-88.18754
56,312.46103,379.2789,-82.13855
57,312.19537,378.76028,-75.86626
58,310.81717,376.30203,-65.92415
59,307.08566,373.29755,-45.1385
60,307.28058,374.80753,-32.272835
61,311.02982,377.98492,-37.956657
62,314.30017,382.09723,-53.527657
63,322.2306,388.2283,-66.34039
64,327.19354,392.45303,-72.340706
65,328.19748,392.5473,-61.238396
66,328.4855,392.39856,-45.11093
67,329.95688,395.1242,-31.147825
68,332.10257,397.31534,-29.297157
69,337.10553,405.41745,-38.88714
70,333.35394,403.04904,-31.112804
71,333.01202,401.90775,-10.9698305
72,333.7857,401.645,9.367122
73,332.079,401.26172,15.311366
74,334.08273,402.8299,-1.9612422
75,338.05566,406.1973,-31.896658
76,341.75336,410.91714,-59.683937
77,345.70544,414.62085,-75.25115
78,349.60434,418.907,-85.81389
79,353.19537,422.71063,-95.404045
80,356.7274,426.61923,-105.27368
81,362.02182,431.74786,-117.431206
82,363.17508,436.193,-130.39384
83,362.6468,438.10776,-136.33751
84,358.6196,434.7579,-130.8171
85,360.65714,437.18155,-136.85893
86,369.62192,450.91843,-141.42642
87,374.15356,456.40973,-158.26843
88,374.28732,457.79053,-161.1262
89,372.74368,454.75043,-148.84367
90,369.98886,449.92825,-119.87343
